     JOBID  PARTITION                                                                         NAME     USER   STATE           TIME
    253054   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=326_seed2=350_random  aronton PENDING           0:00
    253055   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=351_seed2=375_random  aronton PENDING           0:00
    253056   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=376_seed2=400_random  aronton PENDING           0:00
    253057   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=401_seed2=425_random  aronton PENDING           0:00
    253058   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=426_seed2=450_random  aronton PENDING           0:00
    253059   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=451_seed2=475_random  aronton PENDING           0:00
    253060   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=476_seed2=500_random  aronton PENDING           0:00
    253061   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=501_seed2=525_random  aronton PENDING           0:00
    253062   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=526_seed2=550_random  aronton PENDING           0:00
    253063   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=551_seed2=575_random  aronton PENDING           0:00
    253064   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=576_seed2=600_random  aronton PENDING           0:00
    253065   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=601_seed2=625_random  aronton PENDING           0:00
    253066   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=626_seed2=650_random  aronton PENDING           0:00
    253067   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=651_seed2=675_random  aronton PENDING           0:00
    253068   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=676_seed2=700_random  aronton PENDING           0:00
    253069   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=701_seed2=725_random  aronton PENDING           0:00
    253070   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=726_seed2=750_random  aronton PENDING           0:00
    253071   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=751_seed2=775_random  aronton PENDING           0:00
    253072   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=776_seed2=800_random  aronton PENDING           0:00
    253073   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=801_seed2=825_random  aronton PENDING           0:00
    253074   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=826_seed2=850_random  aronton PENDING           0:00
    253075   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=851_seed2=875_random  aronton PENDING           0:00
    253076   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=876_seed2=900_random  aronton PENDING           0:00
    253077   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=901_seed2=925_random  aronton PENDING           0:00
    253078   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=926_seed2=950_random  aronton PENDING           0:00
    253079   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=951_seed2=975_random  aronton PENDING           0:00
    253080   scopion4 spin15_L512_Jdis040_Dim025_P10_B40_BC=PBC_Ncore=1_seed1=976_seed2=1000_rando  aronton PENDING           0:00
    253081   scopion4    spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=1_seed2=25_random  aronton PENDING           0:00
    253082   scopion4   spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=26_seed2=50_random  aronton PENDING           0:00
    253083   scopion4   spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=51_seed2=75_random  aronton PENDING           0:00
    253084   scopion4  spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=76_seed2=100_random  aronton PENDING           0:00
    253085   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=101_seed2=125_random  aronton PENDING           0:00
    253086   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=126_seed2=150_random  aronton PENDING           0:00
    253087   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=151_seed2=175_random  aronton PENDING           0:00
    253088   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=176_seed2=200_random  aronton PENDING           0:00
    253089   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=201_seed2=225_random  aronton PENDING           0:00
    253090   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=226_seed2=250_random  aronton PENDING           0:00
    253091   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=251_seed2=275_random  aronton PENDING           0:00
    253092   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=276_seed2=300_random  aronton PENDING           0:00
    253093   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=301_seed2=325_random  aronton PENDING           0:00
    253094   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=326_seed2=350_random  aronton PENDING           0:00
    253095   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=351_seed2=375_random  aronton PENDING           0:00
    253096   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=376_seed2=400_random  aronton PENDING           0:00
    253097   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=401_seed2=425_random  aronton PENDING           0:00
    253098   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=426_seed2=450_random  aronton PENDING           0:00
    253099   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=451_seed2=475_random  aronton PENDING           0:00
    253100   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=476_seed2=500_random  aronton PENDING           0:00
    253101   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=501_seed2=525_random  aronton PENDING           0:00
    253102   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=526_seed2=550_random  aronton PENDING           0:00
    253103   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=551_seed2=575_random  aronton PENDING           0:00
    253104   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=576_seed2=600_random  aronton PENDING           0:00
    253105   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=601_seed2=625_random  aronton PENDING           0:00
    253106   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=626_seed2=650_random  aronton PENDING           0:00
    253107   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=651_seed2=675_random  aronton PENDING           0:00
    253108   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=676_seed2=700_random  aronton PENDING           0:00
    253109   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=701_seed2=725_random  aronton PENDING           0:00
    253110   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=726_seed2=750_random  aronton PENDING           0:00
    253111   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=751_seed2=775_random  aronton PENDING           0:00
    253112   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=776_seed2=800_random  aronton PENDING           0:00
    253113   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=801_seed2=825_random  aronton PENDING           0:00
    253114   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=826_seed2=850_random  aronton PENDING           0:00
    253115   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=851_seed2=875_random  aronton PENDING           0:00
    253116   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=876_seed2=900_random  aronton PENDING           0:00
    253117   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=901_seed2=925_random  aronton PENDING           0:00
    253118   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=926_seed2=950_random  aronton PENDING           0:00
    253119   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=951_seed2=975_random  aronton PENDING           0:00
    253120   scopion4 spin15_L512_Jdis040_Dim026_P10_B40_BC=PBC_Ncore=1_seed1=976_seed2=1000_rando  aronton PENDING           0:00
    253121   scopion4    spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=1_seed2=25_random  aronton PENDING           0:00
    253122   scopion4   spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=26_seed2=50_random  aronton PENDING           0:00
    253123   scopion4   spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=51_seed2=75_random  aronton PENDING           0:00
    253124   scopion4  spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=76_seed2=100_random  aronton PENDING           0:00
    253125   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=101_seed2=125_random  aronton PENDING           0:00
    253126   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=126_seed2=150_random  aronton PENDING           0:00
    253127   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=151_seed2=175_random  aronton PENDING           0:00
    253128   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=176_seed2=200_random  aronton PENDING           0:00
    253129   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=201_seed2=225_random  aronton PENDING           0:00
    253130   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=226_seed2=250_random  aronton PENDING           0:00
    253131   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=251_seed2=275_random  aronton PENDING           0:00
    253132   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=276_seed2=300_random  aronton PENDING           0:00
    253133   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=301_seed2=325_random  aronton PENDING           0:00
    253134   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=326_seed2=350_random  aronton PENDING           0:00
    253135   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=351_seed2=375_random  aronton PENDING           0:00
    253136   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=376_seed2=400_random  aronton PENDING           0:00
    253137   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=401_seed2=425_random  aronton PENDING           0:00
    253138   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=426_seed2=450_random  aronton PENDING           0:00
    253139   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=451_seed2=475_random  aronton PENDING           0:00
    253140   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=476_seed2=500_random  aronton PENDING           0:00
    253141   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=501_seed2=525_random  aronton PENDING           0:00
    253142   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=526_seed2=550_random  aronton PENDING           0:00
    253143   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=551_seed2=575_random  aronton PENDING           0:00
    253144   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=576_seed2=600_random  aronton PENDING           0:00
    253145   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=601_seed2=625_random  aronton PENDING           0:00
    253146   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=626_seed2=650_random  aronton PENDING           0:00
    253147   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=651_seed2=675_random  aronton PENDING           0:00
    253148   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=676_seed2=700_random  aronton PENDING           0:00
    253149   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=701_seed2=725_random  aronton PENDING           0:00
    253150   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=726_seed2=750_random  aronton PENDING           0:00
    253151   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=751_seed2=775_random  aronton PENDING           0:00
    253152   scopion4 spin15_L512_Jdis040_Dim027_P10_B40_BC=PBC_Ncore=1_seed1=776_seed2=800_random  aronton PENDING           0:00
